,topic,gujlish,english
310,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
311,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
312,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
313,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
314,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
315,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
316,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
317,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
318,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
319,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
320,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
321,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
322,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
323,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
324,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
325,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
326,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
327,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
328,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
329,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
330,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
331,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
332,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
333,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
334,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
335,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
336,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
337,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
338,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
339,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
340,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
341,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
342,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
343,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
344,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
345,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
346,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
347,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
348,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
349,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
350,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
351,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
352,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
353,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
354,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
355,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
356,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
357,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
358,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
359,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
360,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
361,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
362,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
363,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
364,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
365,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
366,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
367,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
368,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
369,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
370,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
371,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
372,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
373,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
374,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
375,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
376,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
377,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
378,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
379,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
380,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
381,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
382,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
383,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
384,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
385,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
386,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
387,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
388,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
389,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
390,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
391,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
392,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
393,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
394,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
395,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
396,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
397,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
398,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
399,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
400,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
401,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
402,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
403,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
404,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
405,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
406,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
407,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
408,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
409,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
410,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
411,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
412,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
413,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
414,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
415,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
416,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
417,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
418,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
419,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
420,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
421,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
422,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
423,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
424,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
425,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
426,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
427,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
428,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
429,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
430,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
431,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
